method,dataset,run,ticker filename,total return,profit per trade,total log return,avg return,avg log return,total investment,sharpe ratio,total trading days skipped,total trading days successful,total trading days
Adv-ALSTM,stocknet,2,SNY.csv,12.645947000000021,-30.35405299999998,0.3005392676143622,0.2940917906976749,0.006989285293357261,-4.134779000000009,0.33239021473465474,0,19,43
Adv-ALSTM,stocknet,2,CHTR.csv,20.69004799999999,-21.30995200000001,0.11663931921517742,0.49262019047619027,0.002777126647980415,4.490005999999994,0.13037136927315623,0,21,42
Adv-ALSTM,stocknet,2,TSM.csv,1.7734750000000012,-40.226524999999995,0.08247421491032288,0.04222559523809527,0.0019636717835791163,1.7921489999999984,0.12353078129194477,0,21,42
Adv-ALSTM,stocknet,2,MA.csv,23.049964000000003,-16.950035999999997,0.24097815680055562,0.5762491000000001,0.0060244539200138905,5.870597999999987,0.4212543827346591,0,22,40
Adv-ALSTM,stocknet,2,BP.csv,8.861788999999998,-36.138211,0.3027005636437872,0.1969286444444444,0.00672667919208416,0.6413970000000013,0.30771188221760665,0,19,45
Adv-ALSTM,stocknet,2,FB.csv,-3.9899839999999926,-54.98998399999999,-0.03729302226971663,-0.07823498039215672,-0.0007312357307787575,15.030006000000014,-0.0431493238832532,0,30,51
Adv-ALSTM,stocknet,2,ABB.csv,4.347336999999996,-37.652663000000004,0.25278371396065863,0.10350802380952372,0.006018659856206158,-0.483038999999998,0.4817897202994129,0,20,42
Adv-ALSTM,stocknet,2,BRK-A.csv,4397.0,4357.0,0.02057109398781446,109.925,0.0005142773496953615,2953.0,0.037356251729652165,0,17,40
Adv-ALSTM,stocknet,2,INTC.csv,3.185478000000007,-39.814522,0.09473278515681284,0.0740808837209304,0.0022030880269026244,5.138786,0.1468457261782085,0,26,43
Adv-ALSTM,stocknet,2,SRE.csv,6.484809000000013,-34.51519099999999,0.070787169144649,0.15816607317073203,0.001726516320601195,-1.133718999999985,0.10734319962563696,0,19,41
