method,dataset,run,ticker filename,total log return,avg log return,sharpe ratio,total trading days skipped,total trading days successful,total trading days
Adv-ALSTM,stocknet,1,HSBC.csv,0.14073579830807897,0.003350852340668547,0.23624184132811804,0,20,42
Adv-ALSTM,stocknet,1,LMT.csv,0.13470905262825167,0.003285586649469553,0.2519394340509616,0,20,41
Adv-ALSTM,stocknet,1,BUD.csv,-0.009437969828370937,-0.00022471356734216517,-0.015722316455617415,0,25,42
Adv-ALSTM,stocknet,1,SNY.csv,0.05868142248205284,0.0013646842437686707,0.06432245432507619,0,19,43
Adv-ALSTM,stocknet,1,RDS-B.csv,0.13445882639232484,0.002636447576320095,0.11599281021906964,0,23,51
Adv-ALSTM,stocknet,1,JNJ.csv,0.061402027795534046,0.0018059419939862955,0.14190095474441347,0,21,34
Adv-ALSTM,stocknet,1,INTC.csv,0.14859600100273357,0.0034557209535519434,0.22046866053644865,0,26,43
Adv-ALSTM,stocknet,1,MO.csv,0.03512127057229193,0.0009005453992895368,0.05998451485174796,0,23,39
Adv-ALSTM,stocknet,1,MMM.csv,0.0650673305023238,0.0017122981711137843,0.10143941668656122,0,20,38
Adv-ALSTM,stocknet,1,GD.csv,0.09396780004221228,0.0021852976754002857,0.16300895293608225,0,21,43
Adv-ALSTM,stocknet,1,CMCSA.csv,0.06393458802554645,0.0016393484109114476,0.10628646290750984,0,19,39
Adv-ALSTM,stocknet,1,TOT.csv,0.13090665882751243,0.003044340902965405,0.1615744043400824,0,20,43
Adv-ALSTM,stocknet,1,TM.csv,0.1365319064897903,0.0031029978747679613,0.24007190105539533,0,24,44
Adv-ALSTM,stocknet,1,UPS.csv,0.14877910006117087,0.00391523947529397,0.32295795062585203,0,19,38
Adv-ALSTM,stocknet,1,AAPL.csv,0.0107613757789372,0.0002339429517160261,0.01274795411644126,0,20,46
Adv-ALSTM,stocknet,1,UTX.csv,0.17430804564633331,0.004469437067854701,0.30717439150742165,0,22,39
Adv-ALSTM,stocknet,1,MA.csv,0.14738495219625455,0.003684623804906364,0.24486375860952866,0,22,40
Adv-ALSTM,stocknet,1,CAT.csv,0.23755879804704205,0.004751175960940841,0.24616537200055463,0,25,50
Adv-ALSTM,stocknet,1,BHP.csv,0.2469769154115119,0.0041860494137544385,0.16715648745738348,0,28,59
Adv-ALSTM,stocknet,1,UL.csv,-0.0970297943055542,-0.002622426873123086,-0.1762719022499331,0,20,37
Adv-ALSTM,stocknet,1,AMGN.csv,0.35253367228603044,0.007500716431617669,0.3852106601523681,0,26,47
Adv-ALSTM,stocknet,1,IEP.csv,0.07950570873064045,0.0015289559371277008,0.0695080298998479,0,23,52
Adv-ALSTM,stocknet,1,UN.csv,-0.1278722217451552,-0.00319680554362888,-0.20947863144611104,0,21,40
Adv-ALSTM,stocknet,1,PCG.csv,0.13774952670697516,0.0034437381676743787,0.23250594649849218,0,21,40
Adv-ALSTM,stocknet,1,NVS.csv,-0.04484666632897215,-0.0009541843899781308,-0.07766305807044442,0,19,47
Adv-ALSTM,stocknet,1,MSFT.csv,-0.14818285438820764,-0.003704571359705191,-0.17287896068124706,0,23,40
