method,dataset,test acc,test mcc,test ll,test rs,test ps,test avg std,test avg var,test avg entr,valid acc,valid mcc,valid ll,valid rs,valid ps,valid avg std,valid avg var,valid avg entr,dropout,run,iterations,run save path
Adv-ALSTM,kdd17,52.27088402,0.036012087,7.645878564,0.604603581,0.543573235,0.433699131,0.192602679,0.567573518,51.54894672,0.036053903,7.756848034,0.62110858,0.50421204,0.4327465,0.191692084,0.565658432,0.25,4,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.25/4
Adv-ALSTM,kdd17,52.24384969,0.03782764,7.652207325,0.58286445,0.545084908,0.447031021,0.202547193,0.591369243,51.85873606,0.041275315,7.708853718,0.604910149,0.507000424,0.447701514,0.203022853,0.592555182,0.25,5,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.25/5
Adv-ALSTM,kdd17,52.56826169,0.042418504,7.598516974,0.604092072,0.546379829,0.396048635,0.169192597,0.506139072,50.45848823,0.014026844,7.931172133,0.61554037,0.495214824,0.39500156,0.167942032,0.503691264,0.5,1,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/1
Adv-ALSTM,kdd17,52.87915653,0.049992904,7.549784212,0.595140665,0.550118203,0.386152118,0.162194237,0.488862969,51.67286245,0.039663671,7.735438139,0.640344217,0.505090836,0.380575657,0.158227071,0.479085813,0.5,2,2000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/2
Adv-ALSTM,kdd17,52.79805353,0.057475337,7.570171812,0.51483376,0.557926829,0.397427857,0.169490919,0.507596431,51.511772,0.031262681,7.76978558,0.539610225,0.504495977,0.394808114,0.167327687,0.502658142,0.5,3,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/3
Adv-ALSTM,kdd17,52.44660719,0.042900912,7.620524224,0.575959079,0.54766537,0.390613973,0.166072324,0.497754555,51.82156134,0.041567293,7.713234349,0.622880283,0.506482815,0.392659456,0.166570216,0.500007899,0.5,4,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/4
Adv-ALSTM,kdd17,52.58177886,0.042461181,7.596148256,0.606393862,0.546313364,0.396204352,0.168681145,0.505472062,51.7472119,0.040558379,7.724412451,0.630726398,0.505784453,0.396726817,0.168618172,0.505856438,0.5,5,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5
Adv-ALSTM,kdd17,52.46012436,0.038524872,7.61437908,0.618925831,0.544187092,0.17804569,0.061164305,0.198820788,51.2267658,0.031919459,7.804858264,0.660086054,0.50144203,0.171341702,0.05861159,0.190582525,0.95,1,2000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.95/1
Adv-ALSTM,kdd17,52.81157069,0.051288535,7.562886614,0.570076726,0.551869275,0.173838556,0.059579961,0.193726563,50.92936803,0.022508152,7.857670343,0.597317135,0.499048425,0.172535032,0.059669338,0.193333356,0.95,2,2000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.95/2
Adv-ALSTM,kdd17,53.1359827,0.049720953,7.5035435,0.652173913,0.547562809,0.185424969,0.064925022,0.209884091,51.4622057,0.036390302,7.767715449,0.655530246,0.503303537,0.182789683,0.063661635,0.206224561,0.95,3,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.95/3
Adv-ALSTM,kdd17,53.36577453,0.05381294,7.466030411,0.661636829,0.548790836,0.176518649,0.06150952,0.198921529,51.43742255,0.037950914,7.769031902,0.686155404,0.50296846,0.174221188,0.060386095,0.195844854,0.95,4,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.95/4
