method,dataset,dropout,prob,prob measure,run,ticker filename,total log return,avg log return,sharpe ratio,best benchmark log return,best benchmark sharpe ratio,total trading days skipped,total trading days successful,total trading days,total trading days correctly skipped,std log return before action
Adv-ALSTM,stocknet,0.5,1.0,std,5,AAPL.csv,0.0,0.0,,0.15734064829290392,0.18977009320392185,46,0,46,20,0.018338353754259712
Adv-ALSTM,stocknet,0.5,1.0,std,5,PG.csv,0.0,0.0,,-0.009787742731025223,-0.0213012957040212,35,0,35,13,0.012824976886418893
Adv-ALSTM,stocknet,0.5,1.0,std,5,BA.csv,0.0,0.0,,0.09508913099536323,0.13159843331902618,43,0,43,18,0.01675736893067068
Adv-ALSTM,stocknet,0.5,1.0,std,5,BABA.csv,0.0,0.0,,0.2241573377586835,0.17106895830488794,50,0,50,17,0.02575052395538798
Adv-ALSTM,stocknet,0.5,1.0,std,5,CAT.csv,0.0,0.0,,0.3660790965071534,0.3965709682840201,50,0,50,18,0.019855736599172894
Adv-ALSTM,stocknet,0.5,1.0,std,5,AMZN.csv,0.0,0.0,,0.15225292442403648,0.16081508757351093,48,0,48,18,0.019000182210854477
Adv-ALSTM,stocknet,0.5,1.0,std,5,UN.csv,0.0,0.0,,0.10206672789484357,0.16585548811047626,40,0,40,16,0.015516677393217394
Adv-ALSTM,stocknet,0.5,1.0,std,5,PFE.csv,0.0,0.0,,0.1706720533565673,0.23259280584575706,40,0,40,23,0.018821927861896896
Adv-ALSTM,stocknet,0.5,1.0,std,5,REX.csv,0.0,0.0,,0.4197176107634648,0.2495066413140049,54,0,54,29,0.03210450212086071
Adv-ALSTM,stocknet,0.5,1.0,std,5,AGFS.csv,0.0,0.0,,0.7469201207813749,0.2668842786701029,50,0,50,23,0.05783875354289554
Adv-ALSTM,stocknet,0.5,1.0,std,5,IEP.csv,0.0,0.0,,0.14272814679808835,0.1254691698010015,52,0,52,27,0.022004948697289847
Adv-ALSTM,stocknet,0.5,0.9,std,5,TOT.csv,0.0,0.0,,0.2307287432575792,0.2931544175208536,43,0,43,17,0.019075518674643403
Adv-ALSTM,stocknet,0.5,0.9,std,5,DUK.csv,0.0,0.0,,0.05046336033902657,0.07744473790933115,38,0,38,14,0.017197584408740498
Adv-ALSTM,stocknet,0.5,0.9,std,5,HRG.csv,0.0,0.0,,0.20757505986569755,0.2773020256602778,47,0,47,27,0.016309634623036043
Adv-ALSTM,stocknet,0.5,0.9,std,5,ABBV.csv,0.0,0.0,,0.2594279063172988,0.16824070704939445,55,0,55,26,0.02838660042491638
Adv-ALSTM,stocknet,0.5,0.9,std,5,CVX.csv,0.0,0.0,,0.15824883384124155,0.13159049203194625,57,0,57,27,0.02109155423133215
Adv-ALSTM,stocknet,0.5,0.9,std,5,JPM.csv,0.0,0.0,,0.11399240230085413,0.16658055686981274,38,0,38,16,0.018097874020330678
Adv-ALSTM,stocknet,0.5,0.9,std,5,VZ.csv,0.0,0.0,,0.09315871642051957,0.1807403852724923,43,0,43,20,0.012109220447551286
