method,dataset,dropout,total val trading days skipped,total val trading days successful,total val trading days successfuly skipped,ratio of val trading days successfully skipped over total,total val trading days,total val log return,avg val log return,val sharpe ratio,val acc,val mcc,total tes trading days skipped,total tes trading days successful,total tes trading days successfuly skipped,ratio of tes trading days successfully skipped over total,total tes trading days,total tes log return,avg tes log return,tes sharpe ratio,tes acc,tes mcc,run,prob,prob measure,val acc filtered,val mcc filtered,tes acc filtered,tes mcc filtered,val gt acc,tes gt acc
Adv-ALSTM,stocknet,0.5,677,1003,403,0.5952732644017725,2555,2.754435029330769,0.0010780567629474634,0.05720273191109682,51.97651663405088,0.05099313521856975,1116,1501,549,0.49193548387096775,3720,7.617109749324857,0.0020476101476679725,0.12447818786293419,57.33870967741935,0.1450124158065286,5,0.1,var,64.93150684931507,0.19582994241784246,70.10752688172043,0.3385520338019597,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,2555,0,1278,0.5001956947162427,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1652,0.44408602150537635,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.0,var,100.0,0.0,100.0,0.0,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,1.0,entr,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.9,entr,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.8,entr,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.7,entr,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,395,1144,262,0.6632911392405063,2555,2.5094839491944603,0.0009821854987062467,0.04742747708531417,51.97651663405088,0.05099313521856975,557,1816,305,0.547576301615799,3720,9.071012937944664,0.0024384443381571677,0.1337262282790814,57.33870967741935,0.1450124158065286,5,0.6,entr,59.13894324853229,0.15533534221975237,63.33333333333333,0.26728644882731617,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,523,1076,322,0.615678776290631,2555,2.338495186726976,0.0009152623040027303,0.04614411875651652,51.97651663405088,0.05099313521856975,794,1686,412,0.5188916876574308,3720,8.247038389521864,0.0022169458036349096,0.12605570764866508,57.33870967741935,0.1450124158065286,5,0.5,entr,61.487279843444234,0.17095455148463123,66.26344086021506,0.3066137253936247,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,635,1022,380,0.5984251968503937,2555,2.5885825971718037,0.0010131438736484554,0.05311097314056388,51.97651663405088,0.05099313521856975,1003,1568,503,0.5014955134596212,3720,7.995326777169042,0.0021492813917121083,0.1276402195137785,57.33870967741935,0.1450124158065286,5,0.4,entr,63.95303326810177,0.18871084082037107,68.84408602150538,0.33172768564533384,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,763,967,453,0.5937090432503277,2555,3.1524942941073126,0.0012338529526838796,0.06741042358940882,51.97651663405088,0.05099313521856975,1234,1436,602,0.4878444084278768,3720,7.278444358239139,0.001956571064042779,0.12111538527569599,57.33870967741935,0.1450124158065286,5,0.3,entr,67.00587084148728,0.21172786792018952,71.55913978494624,0.34714350794747184,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,872,920,515,0.5905963302752294,2555,3.725144323519888,0.001457982122708371,0.08253843858945656,51.97651663405088,0.05099313521856975,1430,1333,695,0.486013986013986,3720,6.880616816867608,0.001849628176577314,0.11995605382417221,57.33870967741935,0.1450124158065286,5,0.2,entr,69.51076320939335,0.2248911114635229,74.05913978494624,0.35863452781048044,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,1020,848,591,0.5794117647058824,2555,4.08080115875673,0.0015971824496112444,0.0951871989995448,51.97651663405088,0.05099313521856975,1686,1190,808,0.4792408066429419,3720,5.989215500710268,0.0016100041668575989,0.10998916516352773,57.33870967741935,0.1450124158065286,5,0.1,entr,72.64187866927593,0.22405749798346217,77.1236559139785,0.35641918318592886,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,2555,0,1278,0.5001956947162427,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1652,0.44408602150537635,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.0,entr,100.0,0.0,100.0,0.0,99.67585089141005,99.50454170107349
Adv-ALSTM,kdd17,0.5,50,3963,50,1.0,8070,0.8644072425348979,0.00010711366078499354,0.005466082027839499,49.13258983890954,0.03808016326438247,50,3924,50,1.0,7398,8.43430008971914,0.0011400784116949363,0.05724179851941221,52.89267369559341,0.010486707152203331,1,1.0,std,49.13258983890954,0.03808016326438247,52.89267369559341,0.010486707152203331,99.52618453865337,99.14262384322264
Adv-ALSTM,kdd17,0.5,50,3963,50,1.0,8070,0.8644072425348979,0.00010711366078499354,0.005466082027839499,49.13258983890954,0.03808016326438247,50,3924,50,1.0,7398,8.43430008971914,0.0011400784116949363,0.05724179851941221,52.89267369559341,0.010486707152203331,1,0.9,std,49.13258983890954,0.03808016326438247,52.89267369559341,0.010486707152203331,99.52618453865337,99.14262384322264
Adv-ALSTM,kdd17,0.5,50,3963,50,1.0,8070,0.8644072425348979,0.00010711366078499354,0.005466082027839499,49.13258983890954,0.03808016326438247,50,3924,50,1.0,7398,8.43430008971914,0.0011400784116949363,0.05724179851941221,52.89267369559341,0.010486707152203331,1,0.8,std,49.13258983890954,0.03808016326438247,52.89267369559341,0.010486707152203331,99.52618453865337,99.14262384322264
Adv-ALSTM,kdd17,0.5,50,3963,50,1.0,8070,0.8644072425348979,0.00010711366078499354,0.005466082027839499,49.13258983890954,0.03808016326438247,50,3924,50,1.0,7398,8.43430008971914,0.0011400784116949363,0.05724179851941221,52.89267369559341,0.010486707152203331,1,0.7,std,49.13258983890954,0.03808016326438247,52.89267369559341,0.010486707152203331,99.52618453865337,99.14262384322264
Adv-ALSTM,kdd17,0.5,50,3963,50,1.0,8070,0.8644072425348979,0.00010711366078499354,0.005466082027839499,49.13258983890954,0.03808016326438247,50,3924,50,1.0,7398,8.43430008971914,0.0011400784116949363,0.05724179851941221,52.89267369559341,0.010486707152203331,1,0.6,std,49.13258983890954,0.03808016326438247,52.89267369559341,0.010486707152203331,99.52618453865337,99.14262384322264
Adv-ALSTM,kdd17,0.5,93,3946,76,0.8172043010752689,8070,1.06005440672998,0.0001313574233866146,0.006716935984513465,49.13258983890954,0.03808016326438247,81,3907,64,0.7901234567901234,7398,8.395281825834783,0.0011348042478825065,0.05704990538439517,52.89267369559341,0.010486707152203331,1,0.5,std,49.454770755885995,0.08078690968577794,53.09543119762098,0.05859220930792515,99.52618453865337,99.14262384322264
