method,dataset,test acc,test mcc,test ll,test rs,test ps,test avg prob,valid acc,valid mcc,valid ll,valid rs,valid ps,valid avg prob,prob measure,dropout,run,prob confidence threshold,iterations,run save path,total test predictions,filtered test predictions,filtered test predictions sucessfully,filtered test predictions sucessful ratio,test success score,test failure score,test score,total valid predictions,filtered valid predictions,filtered valid predictions sucessfully,filtered valid predictions sucessful ratio,valid success score,valid failure score,valid score
Adv-ALSTM,kdd17,59.74264705882353,0.052093665729846965,6.437039011760678,0.8264705882352941,0.63718820861678,0.3962043523788452,52.71739130434783,0.036208065266719214,7.556756116989737,0.7951388888888888,0.531322505800464,0.3967268168926239,std,0.5,5,0.8,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,544,6854,3289,0.4798657718120805,3614,3784,0.48851040821843744,552,7518,3633,0.48324022346368717,3924,4146,0.4862453531598513
Adv-ALSTM,kdd17,57.920792079207914,0.09436610769002958,6.731666833626001,0.7722289890377588,0.6084452975047985,0.3962043523788452,52.51989389920424,0.04769298819040491,7.59253200801678,0.741851368970013,0.5234590616375345,0.3967268168926239,std,0.5,5,0.7,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,1414,5984,2913,0.486798128342246,3732,3666,0.5044606650446066,1508,6562,3178,0.4843035659859799,3970,4100,0.4919454770755886
Adv-ALSTM,kdd17,55.15320334261838,0.07584083318730486,7.176996650802067,0.7143769968051118,0.5706993363961205,0.3962043523788452,51.22873345935728,0.029269055246088842,7.800934399533895,0.7064045656309448,0.506593906321055,0.3967268168926239,std,0.5,5,0.6,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,2872,4526,2220,0.4904993371630579,3804,3594,0.5141930251419302,3174,4896,2346,0.4791666666666667,3972,4098,0.4921933085501859
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.3962043523788452,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.3967268168926239,std,0.5,5,0.5,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.3962043523788452,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.3967268168926239,std,0.5,5,0.4,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.3962043523788452,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.3967268168926239,std,0.5,5,0.3,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.3962043523788452,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.3967268168926239,std,0.5,5,0.2,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.3962043523788452,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.3967268168926239,std,0.5,5,0.1,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.3962043523788452,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.3967268168926239,std,0.5,5,0.0,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
Adv-ALSTM,kdd17,54.54545454545454,0.28867513459481287,7.2465385740453625,1.0,0.5,0.16868114471435547,54.54545454545454,0.3563483225498992,7.2465385740453625,1.0,0.4444444444444444,0.16861817240715027,var,0.5,5,1.0,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,11,7387,3503,0.47421145255178015,3509,3889,0.47431738307650717,11,8059,3889,0.48256607519543365,3895,4175,0.4826517967781908
Adv-ALSTM,kdd17,57.09798994974874,0.0850862816234891,6.8639955602249385,0.7582056892778993,0.6,0.16868114471435547,51.73836181496759,0.03381101592232654,7.71756011440815,0.73512252042007,0.5155482815057283,0.16861817240715027,var,0.5,5,0.9,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,1592,5806,2825,0.48656562177058216,3734,3664,0.5047310083806434,1697,6373,3075,0.4825043150792405,3953,4117,0.48983890954151177
Adv-ALSTM,kdd17,54.345134934389705,0.06808780041010105,7.309405292694929,0.672953081876725,0.5635593220338984,0.16868114471435547,51.35498320268756,0.034427776591132164,7.782486695511751,0.6841147018661812,0.5041932237504193,0.16861817240715027,var,0.5,5,0.8,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,4039,3359,1664,0.49538553140815716,3859,3539,0.5216274668829414,4465,3605,1722,0.47766990291262135,4015,4055,0.49752168525402723
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.16868114471435547,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.16861817240715027,var,0.5,5,0.7,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.16868114471435547,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.16861817240715027,var,0.5,5,0.6,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.16868114471435547,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.16861817240715027,var,0.5,5,0.5,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.16868114471435547,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.16861817240715027,var,0.5,5,0.4,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
Adv-ALSTM,kdd17,52.581778859151115,0.042461181354689445,7.596148255548797,0.6063938618925832,0.5463133640552995,0.16868114471435547,51.74721189591078,0.040558378733246046,7.724412450589514,0.6307263983801569,0.5057844530140044,0.16861817240715027,var,0.5,5,0.3,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,7398,0,0,0.0,3890,3508,0.5258177885915112,8070,0,0,0.0,4176,3894,0.5174721189591078
